Bostanli00007,"https://www.google.com/maps/@38.4539602,27.102366,3a,75y,23.68h,90.41t/data=!3m7!1e1!3m5!1sgFpBUlwRdCGgnGWBAZTd7w!2e0!6s%2F%2Fgeo1.ggpht.com%2Fcbk%3Fpanoid%3DgFpBUlwRdCGgnGWBAZTd7w%26output%3Dthumbnail%26cb_client%3Dmaps_sv.tactile.gps%26thumb%3D2%26w%3D203%26h%3D100%26yaw%3D137.50816%26pitch%3D0%26thumbfov%3D100!7i16384!8i8192"
Bostanli00008,"https://www.google.com/maps/@38.4547574,27.1022518,3a,75y,106.88h,90.75t/data=!3m7!1e1!3m5!1sSh9hsbrt3D4qPnkae8hSYw!2e0!6s%2F%2Fgeo2.ggpht.com%2Fcbk%3Fpanoid%3DSh9hsbrt3D4qPnkae8hSYw%26output%3Dthumbnail%26cb_client%3Dmaps_sv.tactile.gps%26thumb%3D2%26w%3D203%26h%3D100%26yaw%3D203.14888%26pitch%3D0%26thumbfov%3D100!7i16384!8i8192"
Bostanli00009,"https://www.google.com/maps/@38.4545228,27.1030855,3a,75y,113.92h,90.21t/data=!3m7!1e1!3m5!1sSCiVGcW_JdoAespHFv0YKQ!2e0!6s%2F%2Fgeo2.ggpht.com%2Fcbk%3Fpanoid%3DSCiVGcW_JdoAespHFv0YKQ%26output%3Dthumbnail%26cb_client%3Dmaps_sv.tactile.gps%26thumb%3D2%26w%3D203%26h%3D100%26yaw%3D240.53918%26pitch%3D0%26thumbfov%3D100!7i16384!8i8192"
Bostanli00010,"https://www.google.com/maps/@38.4543449,27.1038125,3a,75y,106.99h,90.44t/data=!3m7!1e1!3m5!1sdGNYf2AyDGrulnQVw5B_vQ!2e0!6s%2F%2Fgeo1.ggpht.com%2Fcbk%3Fpanoid%3DdGNYf2AyDGrulnQVw5B_vQ%26output%3Dthumbnail%26cb_client%3Dmaps_sv.tactile.gps%26thumb%3D2%26w%3D203%26h%3D100%26yaw%3D1.6600084%26pitch%3D0%26thumbfov%3D100!7i16384!8i8192"
Bostanli00011,"https://www.google.com/maps/@38.4541699,27.1046663,3a,75y,287.03h,92.11t/data=!3m7!1e1!3m5!1sSkg93HBvBf9liRMmkfVR2w!2e0!6s%2F%2Fgeo3.ggpht.com%2Fcbk%3Fpanoid%3DSkg93HBvBf9liRMmkfVR2w%26output%3Dthumbnail%26cb_client%3Dmaps_sv.tactile.gps%26thumb%3D2%26w%3D203%26h%3D100%26yaw%3D226.9204%26pitch%3D0%26thumbfov%3D100!7i16384!8i8192"
Bostanli00012,"https://www.google.com/maps/@38.4545845,27.1050862,3a,75y,0.65h,92.02t/data=!3m7!1e1!3m5!1s-smINeHpgOow8BgUTOixZw!2e0!6s%2F%2Fgeo3.ggpht.com%2Fcbk%3Fpanoid%3D-smINeHpgOow8BgUTOixZw%26output%3Dthumbnail%26cb_client%3Dmaps_sv.tactile.gps%26thumb%3D2%26w%3D203%26h%3D100%26yaw%3D70.14511%26pitch%3D0%26thumbfov%3D100!7i16384!8i8192"
Bostanli00013,"https://www.google.com/maps/@38.4549408,27.1036159,3a,75y,198.48h,91.57t/data=!3m7!1e1!3m5!1so4vvH1SZ3vy3fhmsJtLEmA!2e0!6s%2F%2Fgeo2.ggpht.com%2Fcbk%3Fpanoid%3Do4vvH1SZ3vy3fhmsJtLEmA%26output%3Dthumbnail%26cb_client%3Dmaps_sv.tactile.gps%26thumb%3D2%26w%3D203%26h%3D100%26yaw%3D134.88206%26pitch%3D0%26thumbfov%3D100!7i16384!8i8192"
Bostanli00014,"https://www.google.com/maps/@38.4550553,27.102861,3a,75y,205.16h,91.2t/data=!3m7!1e1!3m5!1s2mJXA8N9fHmWGliQo1OntQ!2e0!6s%2F%2Fgeo1.ggpht.com%2Fcbk%3Fpanoid%3D2mJXA8N9fHmWGliQo1OntQ%26output%3Dthumbnail%26cb_client%3Dmaps_sv.tactile.gps%26thumb%3D2%26w%3D203%26h%3D100%26yaw%3D314.8263%26pitch%3D0%26thumbfov%3D100!7i16384!8i8192"
,
,Alsancak
Alsancak_1,"https://www.google.com/maps/@38.4289142,27.135878,3a,90y,26.15h,103.5t/data=!3m6!1e1!3m4!1sRT7Bs2cewGbkLKswwUWAzw!2e0!7i16384!8i8192"
Alsancak_2,"https://www.google.com/maps/@38.4296644,27.1374818,3a,90y,185.98h,111.34t/data=!3m6!1e1!3m4!1sPQdsATLUKaNbw7BL3jKT8Q!2e0!7i16384!8i8192"
Alsancak_3,"https://www.google.com/maps/@38.4313686,27.138925,3a,75y,116.16h,96.72t/data=!3m6!1e1!3m4!1sk6chjPPeyKk-UPXMkLVVBw!2e0!7i16384!8i8192"
Alsancak_4,"https://www.google.com/maps/@38.432334,27.1388625,3a,90y,18.8h,104.92t/data=!3m7!1e1!3m5!1s5f1uAdLJu7O2wbJtgPgZmg!2e0!6s%2F%2Fgeo2.ggpht.com%2Fcbk%3Fpanoid%3D5f1uAdLJu7O2wbJtgPgZmg%26output%3Dthumbnail%26cb_client%3Dmaps_sv.tactile.gps%26thumb%3D2%26w%3D203%26h%3D100%26yaw%3D11.693856%26pitch%3D0%26thumbfov%3D100!7i16384!8i8192"
Alsancak_5,"https://www.google.com/maps/@38.4331652,27.1426626,3a,90y,213.54h,110.8t/data=!3m6!1e1!3m4!1svK6jr__5WxIJZzlp2Oi5nQ!2e0!7i16384!8i8192"
Alsancak_6,"https://www.google.com/maps/@38.4399216,27.1431197,3a,90y,93.41h,101.79t/data=!3m7!1e1!3m5!1s6-bn2N3LFKyr1nkfl_XZTA!2e0!6s%2F%2Fgeo3.ggpht.com%2Fcbk%3Fpanoid%3D6-bn2N3LFKyr1nkfl_XZTA%26output%3Dthumbnail%26cb_client%3Dsearch.revgeo_and_fetch.gps%26thumb%3D2%26w%3D96%26h%3D64%26yaw%3D67.34444%26pitch%3D0%26thumbfov%3D100!7i13312!8i6656"
Alsancak_7,"https://www.google.com/maps/@38.4392462,27.1426069,3a,75y,190.91h,90t/data=!3m7!1e1!3m5!1sd3unY9Fy7Ub2svgh6QNl9A!2e0!6s%2F%2Fgeo2.ggpht.com%2Fcbk%3Fpanoid%3Dd3unY9Fy7Ub2svgh6QNl9A%26output%3Dthumbnail%26cb_client%3Dmaps_sv.tactile.gps%26thumb%3D2%26w%3D203%26h%3D100%26yaw%3D103.654045%26pitch%3D0%26thumbfov%3D100!7i13312!8i6656"
Alsancak_8,"https://www.google.com/maps/@38.4373456,27.142139,3a,90y,272.35h,105.44t/data=!3m7!1e1!3m5!1s4SC08jwJvxAK6Ly1lCwNYg!2e0!6s%2F%2Fgeo3.ggpht.com%2Fcbk%3Fpanoid%3D4SC08jwJvxAK6Ly1lCwNYg%26output%3Dthumbnail%26cb_client%3Dmaps_sv.tactile.gps%26thumb%3D2%26w%3D203%26h%3D100%26yaw%3D167.99239%26pitch%3D0%26thumbfov%3D100!7i13312!8i6656"
Alsancak_9,"https://www.google.com/maps/@38.4366642,27.1437682,3a,90y,89.07h,107.41t/data=!3m6!1e1!3m4!1shZOOr2MbpTTQWUoeIbAllA!2e0!7i13312!8i6656"
Alsancak_10,"https://www.google.com/maps/@38.4341258,27.1399527,3a,90y,138.73h,109.91t/data=!3m7!1e1!3m5!1spiD9XzvM6-dl7q6c_pQgMA!2e0!6s%2F%2Fgeo3.ggpht.com%2Fcbk%3Fpanoid%3DpiD9XzvM6-dl7q6c_pQgMA%26output%3Dthumbnail%26cb_client%3Dmaps_sv.tactile.gps%26thumb%3D2%26w%3D203%26h%3D100%26yaw%3D215.2337%26pitch%3D0%26thumbfov%3D100!7i16384!8i8192"
,
,Bayrakli
Bayrakli00001,"https://www.google.com/maps/@38.4532504,27.1785892,3a,75y,256.01h,94.99t/data=!3m7!1e1!3m5!1sz9Sl7G8rDU59kXJk-GSfAQ!2e0!6s%2F%2Fgeo1.ggpht.com%2Fcbk%3Fpanoid%3Dz9Sl7G8rDU59kXJk-GSfAQ%26output%3Dthumbnail%26cb_client%3Dmaps_sv.tactile.gps%26thumb%3D2%26w%3D203%26h%3D100%26yaw%3D18.63636%26pitch%3D0%26thumbfov%3D100!7i16384!8i8192"
Bayrakli00002,"https://www.google.com/maps/@38.4534877,27.178427,3a,75y,260.85h,97.62t/data=!3m7!1e1!3m5!1sjHz2r9J9H3kPpOxRnBGfLA!2e0!6s%2F%2Fgeo2.ggpht.com%2Fcbk%3Fpanoid%3DjHz2r9J9H3kPpOxRnBGfLA%26output%3Dthumbnail%26cb_client%3Dmaps_sv.tactile.gps%26thumb%3D2%26w%3D203%26h%3D100%26yaw%3D61.35704%26pitch%3D0%26thumbfov%3D100!7i16384!8i8192"
Bayrakli00003,"https://www.google.com/maps/@38.4537506,27.178482,3a,75y,262.19h,86.99t/data=!3m6!1e1!3m4!1sAYzcONzrtLCMUMJ7J2Jcvw!2e0!7i13312!8i6656"
Bayrakli00004,"https://www.google.com/maps/@38.4540371,27.1785533,3a,75y,260.16h,90.35t/data=!3m6!1e1!3m4!1s7x4--dXYGzYEs4ywuBNudg!2e0!7i13312!8i6656"
Bayrakli00005,"https://www.google.com/maps/@38.4540283,27.1787913,3a,75y,170.67h,89.68t/data=!3m7!1e1!3m5!1s0APObom8ONH-qBIZRiLuwg!2e0!6s%2F%2Fgeo1.ggpht.com%2Fcbk%3Fpanoid%3D0APObom8ONH-qBIZRiLuwg%26output%3Dthumbnail%26cb_client%3Dmaps_sv.tactile.gps%26thumb%3D2%26w%3D203%26h%3D100%26yaw%3D154.72397%26pitch%3D0%26thumbfov%3D100!7i13312!8i6656"
Bayrakli00006,"https://www.google.com/maps/@38.4541033,27.1794069,3a,75y,171.12h,89.3t/data=!3m6!1e1!3m4!1sr2OLdiKwVtoRkC16VoDQdQ!2e0!7i16384!8i8192"
Bayrakli00007,"https://www.google.com/maps/@38.4522625,27.1794904,3a,75y,14.94h,92.48t/data=!3m7!1e1!3m5!1syr4QZGJwpH7-OnAjeljK0Q!2e0!6s%2F%2Fgeo0.ggpht.com%2Fcbk%3Fpanoid%3Dyr4QZGJwpH7-OnAjeljK0Q%26output%3Dthumbnail%26cb_client%3Dmaps_sv.tactile.gps%26thumb%3D2%26w%3D203%26h%3D100%26yaw%3D10.777047%26pitch%3D0%26thumbfov%3D100!7i13312!8i6656"
Bayrakli00008,"https://www.google.com/maps/@38.4516508,27.1791843,3a,90y,261.81h,87.73t/data=!3m6!1e1!3m4!1s6QCH-RYg58d_Oygi4tnJUg!2e0!7i13312!8i6656"
Bayrakli00009,"https://www.google.com/maps/@38.4546441,27.1779247,3a,75y,163.85h,89.83t/data=!3m7!1e1!3m5!1sthlGMBOqQ3nboWh65VF0Uw!2e0!6s%2F%2Fgeo3.ggpht.com%2Fcbk%3Fpanoid%3DthlGMBOqQ3nboWh65VF0Uw%26output%3Dthumbnail%26cb_client%3Dmaps_sv.tactile.gps%26thumb%3D2%26w%3D203%26h%3D100%26yaw%3D163.90219%26pitch%3D0%26thumbfov%3D100!7i13312!8i6656"
Bayrakli00010,"https://www.google.com/maps/@38.4544715,27.1779927,3a,75y,161.98h,89.35t/data=!3m6!1e1!3m4!1sgdBAvxeXIr1F17Cghi5eJA!2e0!7i13312!8i6656"
Bayrakli00011,"https://www.google.com/maps/@38.454304,27.1778687,3a,75y,249.86h,89.1t/data=!3m7!1e1!3m5!1sYDI2AUipcwcoTuoIKS1t6A!2e0!6s%2F%2Fgeo0.ggpht.com%2Fcbk%3Fpanoid%3DYDI2AUipcwcoTuoIKS1t6A%26output%3Dthumbnail%26cb_client%3Dmaps_sv.tactile.gps%26thumb%3D2%26w%3D203%26h%3D100%26yaw%3D116.01338%26pitch%3D0%26thumbfov%3D100!7i13312!8i6656"
